Day_of_week,Date,6:30 AM,7:30 AM,8:30 AM,9:30 AM,10:30 AM,11:30 AM,12:30 PM,1:30 PM,2:30 PM,3:30 PM,4:30 PM,5:30 PM,6:30 PM,7:30 PM,8:30 PM,9:30 PM,10:30 PM,11:30 PM,12:30 AM,1:30 AM,2:30 AM,3:30 AM,4:30 AM,5:30 AM,Day_wise_engineers,Chat_or_not
Monday,1-Feb-21,12,4,15,17,36,16,19,24,30,21,25,26,27,32,30,30,36,23,24,15,13,9,11,18,27,1
Tuesday,2-Feb-21,7,12,10,19,21,24,20,18,18,28,17,14,17,19,16,20,31,21,11,19,21,12,6,5,21,1
Wednesday,3-Feb-21,7,7,20,16,16,19,12,21,24,18,17,11,19,18,31,31,23,29,20,13,16,19,7,5,22,1
Thursday,4-Feb-21,11,8,5,18,9,10,20,19,19,15,21,20,10,20,20,21,29,25,7,7,15,6,7,15,19,1
Friday,5-Feb-21,12,16,8,7,7,14,15,17,15,47,13,6,13,26,21,21,17,11,7,10,12,4,12,4,18,1
Saturday,6-Feb-21,1,2,1,1,1,4,1,1,7,0,2,0,4,4,2,0,0,0,1,2,4,1,1,0,3,1
Sunday,7-Feb-21,0,2,3,2,6,1,2,0,8,0,2,2,1,1,1,3,4,5,3,1,3,1,6,2,4,1
Monday,8-Feb-21,4,6,9,20,27,19,31,10,38,21,18,12,26,26,26,25,32,21,16,15,14,14,8,9,23,1
Tuesday,9-Feb-21,10,1,5,42,30,18,23,21,24,14,10,8,17,19,21,26,21,10,15,13,17,16,15,10,21,1
Wednesday,10-Feb-21,12,7,7,10,20,15,21,17,21,22,13,14,20,19,21,22,19,21,16,14,12,12,12,5,20,1
Thursday,11-Feb-21,7,3,2,18,10,17,17,13,12,21,12,13,12,20,22,20,25,21,14,14,15,3,5,4,17,1
Friday,12-Feb-21,8,7,2,6,13,8,2,1,4,4,2,3,7,3,3,1,2,0,2,3,3,3,4,1,5,1
Saturday,13-Feb-21,1,2,2,3,3,3,0,3,2,0,0,2,2,1,1,3,1,1,1,3,2,0,0,1,2,1
Sunday,14-Feb-21,9,3,2,0,4,1,3,0,1,0,1,2,2,3,2,4,1,2,1,0,1,2,6,7,3,1
Monday,15-Feb-21,3,5,15,20,24,26,11,21,42,22,16,19,26,17,14,5,8,10,2,5,1,2,4,7,17,1
Tuesday,16-Feb-21,6,7,4,16,18,18,21,23,24,13,12,13,29,25,24,19,17,29,26,29,11,9,11,11,22,1
Wednesday,17-Feb-21,10,3,5,18,19,14,19,14,19,8,15,11,14,25,15,27,22,15,7,14,19,8,12,11,18,1
Thursday,18-Feb-21,5,9,10,11,22,16,24,20,14,19,15,18,11,9,18,24,22,22,21,18,5,9,4,6,18,1
Friday,19-Feb-21,5,8,5,12,13,19,12,10,15,17,14,12,16,34,29,22,15,13,14,17,12,9,4,6,18,1
Saturday,20-Feb-21,0,2,2,7,2,1,0,1,0,1,2,1,3,1,1,1,2,1,0,2,0,0,1,2,2,1
Sunday,21-Feb-21,2,0,0,3,0,3,3,2,1,1,4,1,0,2,3,4,2,2,0,0,0,6,1,1,3,1
Monday,22-Feb-21,9,3,10,31,24,18,23,38,23,26,27,26,25,30,45,37,29,20,22,11,15,11,12,14,28,1
Tuesday,23-Feb-21,10,1,5,11,24,14,11,10,22,24,17,10,11,36,26,21,32,28,17,21,18,16,21,8,22,1
Wednesday,24-Feb-21,7,7,11,16,21,21,19,25,22,33,17,18,31,37,31,38,59,58,28,31,30,31,15,17,32,1
Thursday,25-Feb-21,9,7,13,12,20,18,22,32,26,14,23,12,11,17,26,38,34,18,21,14,17,12,7,5,22,1
Friday,26-Feb-21,5,11,9,12,12,12,14,22,15,14,18,16,15,19,34,20,23,16,12,10,6,10,8,3,18,1
Saturday,27-Feb-21,5,5,2,4,8,4,1,1,3,0,2,2,3,1,8,6,0,5,3,2,0,1,1,2,4,1
Sunday,28-Feb-21,0,0,0,3,3,4,5,2,3,1,1,1,5,7,3,5,2,2,0,1,1,7,3,2,4,1
Monday,1-Mar-21,9,10,23,26,23,23,16,23,34,27,25,25,22,42,18,39,34,24,21,18,20,30,11,14,29,1
Tuesday,2-Mar-21,85,22,20,24,37,15,24,56,41,34,35,28,31,45,135,56,48,48,33,19,20,11,7,10,46,1
Wednesday,3-Mar-21,7,11,16,19,21,18,22,21,40,20,15,14,16,21,36,30,26,28,11,20,25,18,10,6,25,1
Thursday,4-Mar-21,10,13,9,23,16,18,24,24,25,22,12,14,19,20,19,20,29,22,26,17,11,7,13,17,22,1
Friday,5-Mar-21,5,7,11,12,20,24,18,15,19,17,23,16,15,6,9,20,19,13,13,11,16,8,9,8,18,1
Saturday,6-Mar-21,3,1,1,0,5,6,7,1,2,1,1,4,3,4,2,3,2,1,2,0,1,2,1,0,3,1
Sunday,7-Mar-21,2,0,4,3,3,2,5,0,4,2,4,4,4,5,0,4,1,5,4,6,4,2,2,4,4,1
Monday,8-Mar-21,6,7,17,32,27,22,28,28,40,14,29,16,22,29,38,44,33,28,18,35,18,18,19,7,30,1
Tuesday,9-Mar-21,8,11,16,17,17,26,21,20,27,31,17,15,19,22,34,38,40,26,15,24,17,16,5,9,26,1
Wednesday,10-Mar-21,2,9,7,16,26,17,27,13,19,17,20,21,17,20,21,23,26,21,15,13,18,13,12,9,21,1
Thursday,11-Mar-21,4,3,4,11,21,17,18,14,25,13,16,12,12,21,19,11,7,21,9,12,11,11,6,8,16,1
Friday,12-Mar-21,5,10,8,17,9,14,17,21,18,16,23,13,8,23,29,24,16,14,4,10,13,15,7,5,18,1
Saturday,13-Mar-21,7,0,2,2,0,1,11,3,2,7,6,1,1,3,4,2,2,6,2,4,5,4,2,1,4,1
Sunday,14-Mar-21,3,2,1,0,3,1,0,4,3,0,2,2,0,4,2,1,4,10,3,0,4,1,1,1,3,1
Monday,15-Mar-21,7,6,4,7,16,22,24,15,16,23,23,9,17,16,29,33,30,29,15,25,37,30,14,10,24,1
Tuesday,16-Mar-21,10,4,4,11,17,15,12,8,17,22,17,15,15,32,15,23,26,20,26,26,16,16,7,19,21,1
Wednesday,17-Mar-21,6,7,4,18,13,19,18,21,19,21,22,22,11,10,14,14,18,19,19,26,21,19,9,9,20,1
Thursday,18-Mar-21,9,6,4,11,17,13,17,11,24,15,11,17,22,25,14,18,21,22,7,13,10,17,5,8,18,1
Friday,19-Mar-21,10,12,2,5,12,12,12,14,14,18,29,10,9,10,12,16,17,15,16,23,10,7,9,6,16,1
Saturday,20-Mar-21,3,1,2,3,2,1,4,2,3,2,3,1,6,1,5,2,2,2,3,2,3,2,3,2,4,1
Sunday,21-Mar-21,2,0,0,0,0,3,3,4,3,4,6,0,2,4,7,8,4,0,3,2,2,2,2,3,4,1
Monday,22-Mar-21,2,3,4,20,21,20,30,22,13,29,34,19,15,30,33,28,31,41,34,17,32,25,15,10,27,1
Tuesday,23-Mar-21,8,6,6,9,18,21,19,25,24,27,19,11,26,15,18,24,25,19,28,16,23,25,15,11,23,1
Wednesday,24-Mar-21,13,10,8,16,12,16,21,12,17,21,16,20,8,22,25,18,30,22,16,15,20,14,6,10,20,1
